condition_id,name,market_name,yes_token_id,no_token_id
0xcb9cf7bbd8a94c3faa3a78108fbec9cda874b021c655d243054e8f3ebfe477be,Mi Hazánk,Will Our Homeland Movement (Mi Hazánk) win at least one seat in the next Hungarian parliamentary election?,69555862580695413326009919133589057617355841579070300307003057905523313279136,107495096305054161363303756848362010776613142730299062814205765876452833784498
0x02aaea36b22da0995fe34fab28a389eec281f056fb86bbc639f86540d7cd9b91,DK,Will the Democratic Coalition (DK) win at least one seat in the next Hungarian parliamentary election?,92330158591165133505252477346740897375678793166524824994595545700714947117908,1592834683573483771035121619265751282690565064849706351651204756423621576820
0x9fb3f20d2e5eae2cd38f584186e69db4d2f4a66e340fe22fc45d0fd27dc74c02,MKKP,Will Hungarian Two-Tailed Dog Party (Magyar Kétfarkú Kutya Párt) (MKKP) win at least one seat in the next Hungarian parliamentary election?,52194347681340277287180606430881480712735110895267574059522305251157327059026,108331716521665636067789883563573946584915692123852481607614112638706843186135
