condition_id,name,market_name,yes_token_id,no_token_id
0x83a55156056596a6cd6f9e06a854c3e1908a2e1dbd8c16057fc099477e9d3b31,90+,Will Tisza win at least 90 seats?,38833112859489047599718191089999584582762243616104311669172022806605242852281,65980833784812902316319770718859827113896665655049962757857352876906271100538
0x77b894271b51686dcb0785cf69b39f33e550378a6e7bd3d847f616aef5c90609,100+,Will Tisza win at least 100 seats?,103665812093740152060776699837817052449604025198870275200813790681772204108668,59194319125126330221566071325854370609247723521329811989292814208985123389467
0x12431289c190b53824412aeba2177b49829a07c9f7b238c42c81807e85240938,110+,Will Tisza win at least 110 seats?,36112063952512327514679858566031554083891262131527857900272308322900286034681,97664784370807841142707964737081665627344934031049263962508132420739217665692
0x3ed8d5fa242785890944bb7c388a22056ad54a378dc21ccfd6507939459ee4e0,120+,Will Tisza win at least 120 seats?,51545423913182123924490519418790772637911331975740675015194873029073130014866,104578165648142192315614918587674778441806406670239806839986220073158520155072
0x0e47ad377273a39833506ca16c597c7eccdee686375b30f1910f3ef3ff734f4e,130+,Will Tisza win at least 130 seats?,38682154117717169146231293723735580430526845725832450611137930653036350923557,35538912002321880301848956355879389234334418034326242573043886206544533352287
