condition_id,name,market_name,yes_token_id,no_token_id
0xfae2e410e5781457b636e1c49d64cc0e1de6ec36689f723df6667743452fef02,Fidesz-KDNP 9%+,Will Fidesz-KDNP win the national list vote in the 2026 Hungarian Parliamentary election by 9%+?,68401951623125013584691460378372072544746940956807126776857348476389816413658,83305743608546762014482703891193874515008861231006322367464616037617190592802
0xfd8ca3538aa1f3035026c28d9b663781d12838e2cf6693bd28775ec7197f2c6f,Fidesz-KDNP 6-9%,Will Fidesz-KDNP win the national list vote in the 2026 Hungarian Parliamentary election by 6-9%?,23417288962679362851828525650397590377776470325444071169646023899535681146703,51475489407708827795838577798719103192148875020536602521425654186021765955409
0x06cbe9884935977c5b3a0f17fe15c27bddaec24212b462b6bde1aadf64616d3b,Fidesz-KDNP 3-6%,Will Fidesz-KDNP win the national list vote in the 2026 Hungarian Parliamentary election by 3-6%?,29931521127975947636111930970697982347614602180168162279827316695519172139590,80112889555045636568310123745616607946607127282957821584931967818596455920546
0x2308c9babd7aad52ea9b22c570d3a728f74630435d6653e2e7cfd79712c35677,Fidesz-KDNP 0-3%,Will Fidesz-KDNP win the national list vote in the 2026 Hungarian Parliamentary election by 0-3%?,10446099126665550157974997401205080985193894416945988396537337663755340333810,12132040168042261214881028948329034367413586647658194773314905018530830695060
0x12b2a643d1162782fb06bd21830af563f73bc5af1c70755c7ed0fe81d67427aa,Tisza 0-3%,Will Tisza win the national list vote in the 2026 Hungarian Parliamentary election by 0-3%?,20412671987414105940354715966461656971873892878255076351794173153027117746790,6231308472274223615721000477314472320010766612520716593944821777693726977478
0x0d1ed5cdd7aabd05268b337833c5f78c310abef413be3c32a8d6fcf45ecdbb86,Tisza 3-6%,Will Tisza win the national list vote in the 2026 Hungarian Parliamentary election by 3-6%?,86505329813247892826671935478948077401070863681955297074116575742644789389025,21743951550512505776277636128545363075197519349423948296795913458796519911163
0x0d896c47968d9e437057fc62f874f4d527abd43e91c2e5950cfead58d9c23ff6,Tisza 6-9%,Will Tisza win the national list vote in the 2026 Hungarian Parliamentary election by 6-9%?,84996888794275710603948550414361666487905977604374858921106247854276988620513,100082819148175615776473845204365443026360258943780859504688077651740460981199
0xde38c515193b3b7f826f65e85fb50fc77d4fb134e56f3c36e9244ee812d75089,Tisza 9%+,Will Tisza win the national list vote in the 2026 Hungarian Parliamentary election by 9%+?,17518405426558169015931751465004728518594684025992941706756176652628399293062,24357659839123465350918694203822766849457751201511554426308016886753289577195
