condition_id,name,market_name,yes_token_id,no_token_id
0xbc6878370fd040a07cda65736c351e2cbdd7bbf572c4a22f82789cb8ce1cbfbf,Other,Will another outcome occur in the 2026 Hungarian Parliamentary election?,16003606386311454381918531828969500550685885056472950691811330513169179315433,25351594723310449863901757986178116651581247113571023404421675297191627477776
0x281b216205d45a69ad0abe777df68a68547888e0f6222d44cb0dbad76224f449,Tisza <9%,Will Tisza win the national list vote in the 2026 Hungarian Parliamentary election by <9%?,87264494789640096166368693948602490859202953489817811172238107975432143337447,75891266928800045315241839735266480893777999912875006472488849044176085902017
0x5e53afc07eb93e3a6ee2ef294d77573995d138caeee79621870c9eedb5424888,Tisza 9-12%,Will Tisza win the national list vote in the 2026 Hungarian Parliamentary election by 9-12%?,3634326548033018572492750574951560092184506184111423745908607035231011075798,2511582691363000326435415265764542455884171649915868709387997553170582965414
0xcec9024b36a711d9dec8494a0caaffc94166f2736f1cef4e54f7b50d22df4881,Tisza 12-15%,Will Tisza win the national list vote in the 2026 Hungarian Parliamentary election by 12-15%?,41120142165210452958574212656716796491520244652102236249253042533020945153098,33787851373876328617213046071383141569338193911839352736583006941417569443658
0x6b903a669b462e4f46ad7da467d286b94db2d3cfaf66e1df2d52b4be8534700a,Tisza 15-18%,Will Tisza win the national list vote in the 2026 Hungarian Parliamentary election by 15-18%?,13519019451877580693726054552572482067171113477228481364490146449428599761653,14922937287865832046717695081333587677101898952033327620870538647997463354069
0x586bf91187e0517f41595f850486fe1401220e59abd477a6d5d34b7882fd23c0,Tisza 18%+,Will Tisza win the national list vote in the 2026 Hungarian Parliamentary election by 18%+?,101213647969955129061651953394889119220579719849212788022828103269410789601842,33117166228163478157198472368253612793877360387827114567141129237450856596893
