condition_id,name,market_name,yes_token_id,no_token_id
0x33f542bf6dcc1ee06d01baf47df5dc5ccc9b0d7949a5c0e12173beceb9c15d9b,<36%,Will Fidesz-KDNP win <36% of the national list votes in the 2026 Hungarian Parliamentary election?,54136882052474624612827842323548829763095053041986194740928355670733494242705,33673776294955124343145793163521519546495983610639216328530639916244597151073
0xe8abe0a4c0a6e69d5bded5cf336a9db47edc6b67bcc00f97339c001530105cc7,36-40%,Will Fidesz-KDNP win 36-40% of the national list votes in the 2026 Hungarian Parliamentary election?,764564931326676240695018446495104275403241691497485042163048009463519874109,102504522055005885342830450734580618206973171118898075095436078952648222373764
0xd4717f1118a739e898848610e68d74ea6cdf6ded0fedc3940143b9f3d57ff254,40-44%,Will Fidesz-KDNP win 40-44% of the national list votes in the 2026 Hungarian Parliamentary election?,78694996123437319422305954714737919307676937331192272808293690260510652252845,36230140438891428310729070812378465936561941608389446455823262314297408936498
0x216da290ea27fad4c1f50ea01793611c547bbfaf388dac82d1f4e645ca3b6ea7,44-48%,Will Fidesz-KDNP win 44-48% of the national list votes in the 2026 Hungarian Parliamentary election?,108098932088367182440741768713641216334823691465093776802059393811939274300005,96489893487535432267593538684681657860387225264335539862236462381557065400303
0x1060db34fa0c4c889dddb703594058244c46c88adf2f6f2863c95cdd5fa7d5ed,48%+,Will Fidesz-KDNP win 48%+ of the national list votes in the 2026 Hungarian Parliamentary election?,83892279429755121038095127859495844892185654425644846288830896688955343489441,31532780441978456735429083368008142198381558885828615825879333747915707835911
