"region","party","W Average","STDEV","STDEV/AVE","elections","value_2021_10_04"
"Pardubický kraj","SPD",0.96,0.07,0.07,0.947114,0.96
"Kraj Vysočina","SPD",0.94,0.06,0.06,0.909167,0.94
"Jihomoravský kraj","SPD",1.03,0.09,0.09,1.112164,1.03
"Olomoucký kraj","SPD",1.28,0.01,0.01,1.253136,1.28
"Zlínský kraj","SPD",1.27,0.14,0.11,1.220679,1.27
"Moravskoslezský kraj","SPD",1.23,0.09,0.07,1.245783,1.23
"Hlavní město Praha","Piráti+STAN",1.31,0.13,0.1,1.525633,1.27
"Středočeský kraj","Piráti+STAN",1.25,0.05,0.04,1.269296,1.32
"Jihočeský kraj","Piráti+STAN",0.96,0.01,0.01,0.953879,0.969
"Plzeňský kraj","Piráti+STAN",0.98,0.17,0.17,0.925271,0.878
"Karlovarský kraj","Piráti+STAN",0.98,0.07,0.07,0.924215,0.9635
"Ústecký kraj","Piráti+STAN",0.77,0.05,0.06,0.701521,0.905
"Liberecký kraj","Piráti+STAN",1.5,0.18,0.12,1.514534,1.422
"Královéhradecký kraj","Piráti+STAN",1,0.04,0.04,0.975121,1.123
"Pardubický kraj","Piráti+STAN",0.97,0.03,0.04,0.963112,0.94
"Kraj Vysočina","Piráti+STAN",0.87,0.04,0.04,0.89595,0.915
"Jihomoravský kraj","Piráti+STAN",0.82,0.05,0.06,0.811172,0.82
"Olomoucký kraj","Piráti+STAN",0.82,0.04,0.05,0.797168,0.736
"Zlínský kraj","Piráti+STAN",0.89,0.06,0.06,0.898786,0.824
"Moravskoslezský kraj","Piráti+STAN",0.68,0.05,0.07,0.674465,0.715
"Hlavní město Praha","SPOLU",1.48,0.16,0.11,1.613076,1.465
"Středočeský kraj","SPOLU",0.96,0.07,0.07,0.998916,1.04
"Jihočeský kraj","SPOLU",1.01,0.03,0.03,1.026934,1.151
"Plzeňský kraj","SPOLU",0.93,0.06,0.06,0.904421,0.927
"Karlovarský kraj","SPOLU",0.66,0.03,0.04,0.639135,0.6765
"Ústecký kraj","SPOLU",0.65,0.03,0.05,0.627951,0.71
"Liberecký kraj","SPOLU",0.71,0.05,0.07,0.736719,0.671
"Královéhradecký kraj","SPOLU",0.99,0.03,0.03,0.989199,0.954
"Pardubický kraj","SPOLU",0.99,0.03,0.03,0.973483,1.035
"Kraj Vysočina","SPOLU",1.07,0.09,0.08,1.032943,0.932
"Jihomoravský kraj","SPOLU",1.12,0.03,0.03,1.148819,1.125
"Olomoucký kraj","SPOLU",0.89,0.06,0.06,0.896377,0.875
"Zlínský kraj","SPOLU",1.08,0.09,0.08,1.078643,0.888
"Moravskoslezský kraj","SPOLU",0.79,0.09,0.12,0.703023,0.805
"Hlavní město Praha","Přísaha",0.738804,,,0.738804,0.738804
"Středočeský kraj","Přísaha",0.97277,,,0.97277,0.97277
"Jihočeský kraj","Přísaha",0.983487,,,0.983487,0.983487
"Plzeňský kraj","Přísaha",1.038827,,,1.038827,1.038827
"Karlovarský kraj","Přísaha",1.15156,,,1.15156,1.15156
"Ústecký kraj","Přísaha",1.196874,,,1.196874,1.196874
"Liberecký kraj","Přísaha",1.004335,,,1.004335,1.004335
"Královéhradecký kraj","Přísaha",1.054967,,,1.054967,1.054967
"Pardubický kraj","Přísaha",1.032368,,,1.032368,1.032368
"Kraj Vysočina","Přísaha",0.973232,,,0.973232,0.973232
"Jihomoravský kraj","Přísaha",0.939348,,,0.939348,0.939348
"Olomoucký kraj","Přísaha",1.042787,,,1.042787,1.042787
"Zlínský kraj","Přísaha",0.976901,,,0.976901,0.976901
"Moravskoslezský kraj","Přísaha",1.141701,,,1.141701,1.141701
"Hlavní město Praha","Trikolóra+Svobodní+Soukromníci",1.445211,,,1.445211,1.445211
"Středočeský kraj","Trikolóra+Svobodní+Soukromníci",1.038645,,,1.038645,1.038645
"Jihočeský kraj","Trikolóra+Svobodní+Soukromníci",1.085004,,,1.085004,1.085004
"Plzeňský kraj","Trikolóra+Svobodní+Soukromníci",0.967621,,,0.967621,0.967621
"Karlovarský kraj","Trikolóra+Svobodní+Soukromníci",0.778049,,,0.778049,0.778049
"Ústecký kraj","Trikolóra+Svobodní+Soukromníci",0.816228,,,0.816228,0.816228
"Liberecký kraj","Trikolóra+Svobodní+Soukromníci",0.962061,,,0.962061,0.962061
"Královéhradecký kraj","Trikolóra+Svobodní+Soukromníci",0.972215,,,0.972215,0.972215
"Pardubický kraj","Trikolóra+Svobodní+Soukromníci",0.982362,,,0.982362,0.982362
"Kraj Vysočina","Trikolóra+Svobodní+Soukromníci",0.873025,,,0.873025,0.873025
"Jihomoravský kraj","Trikolóra+Svobodní+Soukromníci",1.159052,,,1.159052,1.159052
"Olomoucký kraj","Trikolóra+Svobodní+Soukromníci",0.815483,,,0.815483,0.815483
"Zlínský kraj","Trikolóra+Svobodní+Soukromníci",1.05021,,,1.05021,1.05021
"Moravskoslezský kraj","Trikolóra+Svobodní+Soukromníci",0.656294,,,0.656294,0.656294
"Hlavní město Praha","Zelení",1.759486,,,1.759486,1.759486
"Středočeský kraj","Zelení",0.975995,,,0.975995,0.975995
"Jihočeský kraj","Zelení",0.943381,,,0.943381,0.943381
"Plzeňský kraj","Zelení",0.827703,,,0.827703,0.827703
"Karlovarský kraj","Zelení",0.831959,,,0.831959,0.831959
"Ústecký kraj","Zelení",0.949106,,,0.949106,0.949106
"Liberecký kraj","Zelení",0.945698,,,0.945698,0.945698
"Královéhradecký kraj","Zelení",0.877544,,,0.877544,0.877544
"Pardubický kraj","Zelení",0.854025,,,0.854025,0.854025
"Kraj Vysočina","Zelení",0.836277,,,0.836277,0.836277
"Jihomoravský kraj","Zelení",1.084334,,,1.084334,1.084334
"Olomoucký kraj","Zelení",0.786926,,,0.786926,0.786926
"Zlínský kraj","Zelení",0.857193,,,0.857193,0.857193
"Moravskoslezský kraj","Zelení",0.781539,,,0.781539,0.781539
