"region","party","W Average","STDEV","STDEV/AVE","elections","value_2021_10_04"
"Hlavní město Praha","ANO",0.73,0.14,0.19,0.738804,0.71
"Středočeský kraj","ANO",1,0.1,0.1,0.97277,0.96
"Jihočeský kraj","ANO",0.97,0.05,0.05,0.983487,0.958
"Plzeňský kraj","ANO",1.03,0.06,0.06,1.038827,1.051
"Karlovarský kraj","ANO",1.22,0.07,0.06,1.15156,1.1885
"Ústecký kraj","ANO",1.26,0.09,0.07,1.196874,1.158
"Liberecký kraj","ANO",1.07,0.1,0.09,1.004335,1.1045
"Královéhradecký kraj","ANO",1.08,0.01,0.01,1.054967,1.08
"Pardubický kraj","ANO",1.04,0.02,0.02,1.032368,1.037
"Kraj Vysočina","ANO",0.93,0.06,0.06,0.973232,0.975
"Jihomoravský kraj","ANO",0.93,0.01,0.01,0.939348,0.955
"Olomoucký kraj","ANO",1.07,0.05,0.05,1.042787,1.148
"Zlínský kraj","ANO",0.98,0.02,0.02,0.976901,1.085
"Moravskoslezský kraj","ANO",1.12,0.18,0.16,1.141701,1.085
"Hlavní město Praha","ČSSD",0.73,0.03,0.05,0.823959,0.73
"Středočeský kraj","ČSSD",0.9,0.02,0.02,0.917409,0.9
"Jihočeský kraj","ČSSD",0.99,0.05,0.05,1.013737,0.99
"Plzeňský kraj","ČSSD",1.07,0.04,0.04,1.088577,1.07
"Karlovarský kraj","ČSSD",1.01,0.05,0.05,0.924561,1.01
"Ústecký kraj","ČSSD",0.93,0.06,0.06,0.858302,0.93
"Liberecký kraj","ČSSD",0.79,0.04,0.05,0.775408,0.79
"Královéhradecký kraj","ČSSD",0.91,0.03,0.03,0.879553,0.91
"Pardubický kraj","ČSSD",1.03,0.05,0.05,1.019713,1.03
"Kraj Vysočina","ČSSD",1.23,0.14,0.11,1.297407,1.23
"Jihomoravský kraj","ČSSD",1.11,0.06,0.06,1.178173,1.11
"Olomoucký kraj","ČSSD",1.06,0.05,0.05,1.007372,1.06
"Zlínský kraj","ČSSD",1.07,0.2,0.19,0.960187,1.07
"Moravskoslezský kraj","ČSSD",1.28,0.23,0.18,1.160008,1.28
"Hlavní město Praha","KSČM",0.57,0.02,0.03,0.637932,0.57
"Středočeský kraj","KSČM",0.94,0.03,0.03,0.934955,0.94
"Jihočeský kraj","KSČM",1.16,0.05,0.04,1.212956,1.16
"Plzeňský kraj","KSČM",1.13,0.08,0.07,1.107645,1.13
"Karlovarský kraj","KSČM",1.08,0.06,0.05,1.011579,1.08
"Ústecký kraj","KSČM",1.32,0.07,0.05,1.203949,1.32
"Liberecký kraj","KSČM",0.87,0.07,0.08,0.860074,0.87
"Královéhradecký kraj","KSČM",0.93,0.03,0.03,0.899821,0.93
"Pardubický kraj","KSČM",1.01,0.03,0.03,0.990566,1.01
"Kraj Vysočina","KSČM",1.16,0.05,0.04,1.225483,1.16
"Jihomoravský kraj","KSČM",1.01,0.03,0.03,1.05283,1.01
"Olomoucký kraj","KSČM",1.13,0.02,0.02,1.113691,1.13
"Zlínský kraj","KSČM",0.89,0.03,0.03,0.909182,0.89
"Moravskoslezský kraj","KSČM",1.21,0.12,0.1,1.069767,1.21
"Hlavní město Praha","SPD",0.55,0.07,0.13,0.587805,0.55
"Středočeský kraj","SPD",0.88,0.06,0.07,0.851276,0.88
"Jihočeský kraj","SPD",0.98,0.05,0.05,0.934928,0.98
"Plzeňský kraj","SPD",0.96,0.11,0.11,0.986787,0.96
"Karlovarský kraj","SPD",1.23,0.08,0.06,1.129233,1.23
"Ústecký kraj","SPD",1.19,0.09,0.07,1.117828,1.19
"Liberecký kraj","SPD",1.1,0.07,0.06,1.027243,1.1
"Královéhradecký kraj","SPD",1.02,0.15,0.15,0.930403,1.02
