datetime,date,name1,name2,gain1,gain2,p
2023-07-07T00:34:18.406936,2023-07-07,PP,PSOE,33.1,27.3,0.8707
2023-07-07T00:34:18.406936,2023-07-07,PP,VOX,33.1,13.9,1.0
2023-07-07T00:34:18.406936,2023-07-07,PP,SUMAR,33.1,13.4,1.0
2023-07-07T00:34:18.406936,2023-07-07,PSOE,VOX,27.3,13.9,0.999
2023-07-07T00:34:18.406936,2023-07-07,PSOE,SUMAR,27.3,13.4,0.9999
2023-07-07T00:34:18.406936,2023-07-07,SUMAR,VOX,13.4,13.9,0.4472
2023-07-07T00:35:10.887863,2023-07-07,PP,PSOE,33.1,27.3,0.8611
2023-07-07T00:35:10.887863,2023-07-07,PP,VOX,33.1,13.9,1.0
2023-07-07T00:35:10.887863,2023-07-07,PP,SUMAR,33.1,13.4,1.0
2023-07-07T00:35:10.887863,2023-07-07,PSOE,VOX,27.3,13.9,0.9994
2023-07-07T00:35:10.887863,2023-07-07,PSOE,SUMAR,27.3,13.4,0.9998
2023-07-07T00:35:10.887863,2023-07-07,SUMAR,VOX,13.4,13.9,0.449
