datetime,date,name1,name2,gain1,gain2,p
2022-11-16T00:23:20.984464,2022-10-16,Andrej Babiš,Petr Pavel,21.6,24.4,0.3135
2022-11-16T00:23:20.984464,2022-10-16,Andrej Babiš,Danuše Nerudová,21.6,14.9,0.9052
2022-11-16T00:23:20.984464,2022-10-16,Andrej Babiš,Josef Středula,21.6,6.2,1.0
2022-11-16T00:23:20.984464,2022-10-16,Andrej Babiš,Marek Hilšer,21.6,5.3,1.0
2022-11-16T00:23:20.984464,2022-10-16,Andrej Babiš,Pavel Fischer,21.6,7.6,0.9996
2022-11-16T00:23:20.984464,2022-10-16,Danuše Nerudová,Petr Pavel,14.9,24.4,0.0306
2022-11-16T00:23:20.984464,2022-10-16,Danuše Nerudová,Josef Středula,14.9,6.2,0.9864
2022-11-16T00:23:20.984464,2022-10-16,Danuše Nerudová,Marek Hilšer,14.9,5.3,0.9959
2022-11-16T00:23:20.984464,2022-10-16,Danuše Nerudová,Pavel Fischer,14.9,7.6,0.9599
2022-11-16T00:23:20.984464,2022-10-16,Josef Středula,Petr Pavel,6.2,24.4,0.0
2022-11-16T00:23:20.984464,2022-10-16,Josef Středula,Marek Hilšer,6.2,5.3,0.6105
2022-11-16T00:23:20.984464,2022-10-16,Josef Středula,Pavel Fischer,6.2,7.6,0.3427
2022-11-16T00:23:20.984464,2022-10-16,Marek Hilšer,Petr Pavel,5.3,24.4,0.0
2022-11-16T00:23:20.984464,2022-10-16,Marek Hilšer,Pavel Fischer,5.3,7.6,0.2439
2022-11-16T00:23:20.984464,2022-10-16,Pavel Fischer,Petr Pavel,7.6,24.4,0.0001
<<<<<<< HEAD,,,,,,
2022-12-08T16:10:59.378448,2022-12-05,Petr Pavel,Tomáš Zima,24.0,1.0,1.0
2022-12-08T16:10:59.378448,2022-12-05,Andrej Babiš,Petr Pavel,31.0,24.0,0.8615
2022-12-08T16:10:59.378448,2022-12-05,Andrej Babiš,Danuše Nerudová,31.0,26.0,0.7721
2022-12-08T16:10:59.378448,2022-12-05,Andrej Babiš,Josef Středula,31.0,5.0,1.0
2022-12-08T16:10:59.378448,2022-12-05,Andrej Babiš,Marek Hilšer,31.0,4.0,1.0
2022-12-08T16:10:59.378448,2022-12-05,Andrej Babiš,Pavel Fischer,31.0,5.5,1.0
2022-12-08T16:10:59.378448,2022-12-05,Andrej Babiš,Jaroslav Bašta,31.0,3.0,1.0
2022-12-08T16:10:59.378448,2022-12-05,Andrej Babiš,Tomáš Zima,31.0,1.0,1.0
2022-12-08T16:10:59.378448,2022-12-05,Andrej Babiš,Denisa Rohanová,31.0,0.5,1.0
2022-12-08T16:10:59.378448,2022-12-05,Danuše Nerudová,Petr Pavel,26.0,24.0,0.6033
2022-12-08T16:10:59.378448,2022-12-05,Danuše Nerudová,Josef Středula,26.0,5.0,1.0
2022-12-08T16:10:59.378448,2022-12-05,Danuše Nerudová,Marek Hilšer,26.0,4.0,1.0
2022-12-08T16:10:59.378448,2022-12-05,Danuše Nerudová,Pavel Fischer,26.0,5.5,1.0
2022-12-08T16:10:59.378448,2022-12-05,Danuše Nerudová,Jaroslav Bašta,26.0,3.0,1.0
2022-12-08T16:10:59.378448,2022-12-05,Danuše Nerudová,Tomáš Zima,26.0,1.0,1.0
2022-12-08T16:10:59.378448,2022-12-05,Danuše Nerudová,Denisa Rohanová,26.0,0.5,1.0
2022-12-08T16:10:59.378448,2022-12-05,Josef Středula,Petr Pavel,5.0,24.0,0.0002
2022-12-08T16:10:59.378448,2022-12-05,Josef Středula,Marek Hilšer,5.0,4.0,0.5985
2022-12-08T16:10:59.378448,2022-12-05,Josef Středula,Pavel Fischer,5.0,5.5,0.4524
2022-12-08T16:10:59.378448,2022-12-05,Josef Středula,Tomáš Zima,5.0,1.0,0.9056
2022-12-08T16:10:59.378448,2022-12-05,Marek Hilšer,Petr Pavel,4.0,24.0,0.0001
2022-12-08T16:10:59.378448,2022-12-05,Marek Hilšer,Pavel Fischer,4.0,5.5,0.3455
2022-12-08T16:10:59.378448,2022-12-05,Marek Hilšer,Tomáš Zima,4.0,1.0,0.8562
2022-12-08T16:10:59.378448,2022-12-05,Pavel Fischer,Petr Pavel,5.5,24.0,0.0004
2022-12-08T16:10:59.378448,2022-12-05,Pavel Fischer,Tomáš Zima,5.5,1.0,0.9257
2022-12-08T16:10:59.378448,2022-12-05,Jaroslav Bašta,Petr Pavel,3.0,24.0,0.0001
2022-12-08T16:10:59.378448,2022-12-05,Jaroslav Bašta,Josef Středula,3.0,5.0,0.2891
2022-12-08T16:10:59.378448,2022-12-05,Jaroslav Bašta,Marek Hilšer,3.0,4.0,0.3874
2022-12-08T16:10:59.378448,2022-12-05,Jaroslav Bašta,Pavel Fischer,3.0,5.5,0.2489
2022-12-08T16:10:59.378448,2022-12-05,Jaroslav Bašta,Tomáš Zima,3.0,1.0,0.7845
2022-12-08T16:10:59.378448,2022-12-05,Denisa Rohanová,Petr Pavel,0.5,24.0,0.0
2022-12-08T16:10:59.378448,2022-12-05,Denisa Rohanová,Josef Středula,0.5,5.0,0.0585
2022-12-08T16:10:59.378448,2022-12-05,Denisa Rohanová,Marek Hilšer,0.5,4.0,0.0886
2022-12-08T16:10:59.378448,2022-12-05,Denisa Rohanová,Pavel Fischer,0.5,5.5,0.0444
2022-12-08T16:10:59.378448,2022-12-05,Denisa Rohanová,Jaroslav Bašta,0.5,3.0,0.1498
2022-12-08T16:10:59.378448,2022-12-05,Denisa Rohanová,Tomáš Zima,0.5,1.0,0.373
=======,,,,,,
2022-11-15T23:47:07.874768,2022-10-16,Andrej Babiš,Petr Pavel,21.6,24.4,0.3155
2022-11-15T23:47:07.874768,2022-10-16,Andrej Babiš,Danuše Nerudová,21.6,14.9,0.9039
2022-11-15T23:47:07.874768,2022-10-16,Andrej Babiš,Josef Středula,21.6,6.2,0.9998
2022-11-15T23:47:07.874768,2022-10-16,Andrej Babiš,Marek Hilšer,21.6,5.3,1.0
2022-11-15T23:47:07.874768,2022-10-16,Andrej Babiš,Pavel Fischer,21.6,7.6,0.9997
2022-11-15T23:47:07.874768,2022-10-16,Danuše Nerudová,Petr Pavel,14.9,24.4,0.0348
2022-11-15T23:47:07.874768,2022-10-16,Danuše Nerudová,Josef Středula,14.9,6.2,0.9851
2022-11-15T23:47:07.874768,2022-10-16,Danuše Nerudová,Marek Hilšer,14.9,5.3,0.9961
2022-11-15T23:47:07.874768,2022-10-16,Danuše Nerudová,Pavel Fischer,14.9,7.6,0.9602
2022-11-15T23:47:07.874768,2022-10-16,Josef Středula,Petr Pavel,6.2,24.4,0.0
2022-11-15T23:47:07.874768,2022-10-16,Josef Středula,Marek Hilšer,6.2,5.3,0.6152
2022-11-15T23:47:07.874768,2022-10-16,Josef Středula,Pavel Fischer,6.2,7.6,0.3483
2022-11-15T23:47:07.874768,2022-10-16,Marek Hilšer,Petr Pavel,5.3,24.4,0.0
2022-11-15T23:47:07.874768,2022-10-16,Marek Hilšer,Pavel Fischer,5.3,7.6,0.2529
2022-11-15T23:47:07.874768,2022-10-16,Pavel Fischer,Petr Pavel,7.6,24.4,0.0
>>>>>>> f290d56c275bc7d7120232212502636b69a035a3,,,,,,
2022-12-15T22:52:08.631588,2022-12-15,Petr Pavel,Tomáš Zima,23.0,1.0,1.0
2022-12-15T22:52:08.631588,2022-12-15,Andrej Babiš,Petr Pavel,31.0,23.0,0.8918
2022-12-15T22:52:08.631588,2022-12-15,Andrej Babiš,Danuše Nerudová,31.0,28.5,0.6403
2022-12-15T22:52:08.631588,2022-12-15,Andrej Babiš,Josef Středula,31.0,4.0,1.0
2022-12-15T22:52:08.631588,2022-12-15,Andrej Babiš,Marek Hilšer,31.0,3.0,1.0
2022-12-15T22:52:08.631588,2022-12-15,Andrej Babiš,Pavel Fischer,31.0,5.0,1.0
2022-12-15T22:52:08.631588,2022-12-15,Andrej Babiš,Jaroslav Bašta,31.0,4.0,1.0
2022-12-15T22:52:08.631588,2022-12-15,Andrej Babiš,Tomáš Zima,31.0,1.0,1.0
2022-12-15T22:52:08.631588,2022-12-15,Andrej Babiš,Karel Diviš,31.0,0.5,1.0
2022-12-15T22:52:08.631588,2022-12-15,Danuše Nerudová,Petr Pavel,28.5,23.0,0.7429
2022-12-15T22:52:08.631588,2022-12-15,Danuše Nerudová,Josef Středula,28.5,4.0,1.0
2022-12-15T22:52:08.631588,2022-12-15,Danuše Nerudová,Marek Hilšer,28.5,3.0,1.0
2022-12-15T22:52:08.631588,2022-12-15,Danuše Nerudová,Pavel Fischer,28.5,5.0,1.0
2022-12-15T22:52:08.631588,2022-12-15,Danuše Nerudová,Jaroslav Bašta,28.5,4.0,1.0
2022-12-15T22:52:08.631588,2022-12-15,Danuše Nerudová,Tomáš Zima,28.5,1.0,1.0
2022-12-15T22:52:08.631588,2022-12-15,Danuše Nerudová,Karel Diviš,28.5,0.5,1.0
2022-12-15T22:52:08.631588,2022-12-15,Josef Středula,Petr Pavel,4.0,23.0,0.0003
2022-12-15T22:52:08.631588,2022-12-15,Josef Středula,Marek Hilšer,4.0,3.0,0.6247
2022-12-15T22:52:08.631588,2022-12-15,Josef Středula,Pavel Fischer,4.0,5.0,0.3906
2022-12-15T22:52:08.631588,2022-12-15,Josef Středula,Tomáš Zima,4.0,1.0,0.867
2022-12-15T22:52:08.631588,2022-12-15,Josef Středula,Karel Diviš,4.0,0.5,0.9178
2022-12-15T22:52:08.631588,2022-12-15,Marek Hilšer,Petr Pavel,3.0,23.0,0.0
2022-12-15T22:52:08.631588,2022-12-15,Marek Hilšer,Pavel Fischer,3.0,5.0,0.2807
2022-12-15T22:52:08.631588,2022-12-15,Marek Hilšer,Tomáš Zima,3.0,1.0,0.7954
2022-12-15T22:52:08.631588,2022-12-15,Pavel Fischer,Petr Pavel,5.0,23.0,0.0005
2022-12-15T22:52:08.631588,2022-12-15,Pavel Fischer,Tomáš Zima,5.0,1.0,0.9159
2022-12-15T22:52:08.631588,2022-12-15,Jaroslav Bašta,Petr Pavel,4.0,23.0,0.0
2022-12-15T22:52:08.631588,2022-12-15,Jaroslav Bašta,Josef Středula,4.0,4.0,0.5008
2022-12-15T22:52:08.631588,2022-12-15,Jaroslav Bašta,Marek Hilšer,4.0,3.0,0.6263
2022-12-15T22:52:08.631588,2022-12-15,Jaroslav Bašta,Pavel Fischer,4.0,5.0,0.3935
2022-12-15T22:52:08.631588,2022-12-15,Jaroslav Bašta,Tomáš Zima,4.0,1.0,0.8697
2022-12-15T22:52:08.631588,2022-12-15,Jaroslav Bašta,Karel Diviš,4.0,0.5,0.92
2022-12-15T22:52:08.631588,2022-12-15,Karel Diviš,Petr Pavel,0.5,23.0,0.0
