condition_id,name,market_name,yes_token_id,no_token_id,lo,hi
0xb66240663f7564d9821de9efa77b02abc80b84c1935f0bb400e407a688e624f0,Ciprian Ciucu,Will Ciucu win by 0-3%?,36115349434665883482978462598968462677040708709873095031161370197489221270655,97099626195538386269165565650533117250536784457646574836837423013846808664342,0,3
0xc8d4fe249823708e621af15dcc0bfbdf158e7737b37bd75a284fdea3db526b96,Ciprian Ciucu,Will Ciucu win by 6-9%?,40319362196292318654486807059805282419130008322539595808801615433090751081171,44173337684539981355603964759574397205102508131721520361007343921992090338111,6,9
0x922df7ff634d8aeb00255aa8602d1bb48a5b329412597671ffa68723c3d90e3e,Ciprian Ciucu,Will Ciucu win by at least 12%?,49583435149877619720925513425447775019079970950881429359125419714027174471515,56072162944965717792134062591759506605193184039963151477124918379517961954457,12,100
0xe3df89509e9637e0d41939f10b226f5309e7f3c6059cf36bddaf76f3bcc70b15,Daniel Băluță,Will Baluta win by 3-6%?,19815994674082464491120275513675251129981063052253350655631661999876990802726,36470368370893567090514952076203884670269471084540021898384540549731025172685,3,6
0x70f21389361e24c1ff0a85dc73882a5bf8093fd33f8a0ac770b58233daf3e20c,Daniel Băluță,Will Baluta win by 9-12%?,85862982391550410281276410275782946870416657627134537766251256196758713337482,10668451610135210305105716344474949331866655731043029022575746099838691611122,9,12
0xedc9bddcb37aee6e4125a45ec514c897dccb6fcbe137a63c7f469d671cc67061,Ciprian Ciucu,Will Ciucu win by 3-6%?,29869715738500830115021515648620694109390855910653479498567047277628960265704,92010651143304442453599311427590254861331780070167565781895064239394226378052,3,6
0xd0675fd2ed5a716a25deca5ec1e2d15472c3ee3b84de1abc4575f83fb17470e0,Ciprian Ciucu,Will Ciucu win by 9-12%?,78362991571932572291605344873019179031917757065317029132712362442638659792772,52639708197251580115968309200962882659952791252113170435731019935625420517797,9,12
0x301e803897c3f4f358c23ad523e880ee7e91aaacc5110766c4f4761ea7cf5259,Daniel Băluță,Will Baluta win by 0-3%?,7381529209247605858095728672393031771691320411315554969476435400018171291221,69250949776337231326489622157404152435286737481012577873122863425551158837280,0,3
0xeb13fba7d607d7d92a761d9c89ffab91ede949e2944b105a74ac9f3427415755,Daniel Băluță,Will Baluta win by 6-9%?,40876027358802582279239527660701735980956090149510376064688240490686026783053,114982022132235149785385036996692914029375773876321344103894848795924339275523,6,9
0xd61143dd822d73bd00919dd7bbab7e4857bda6b4e02213649b5bd3504c58f74d,Daniel Băluță,Will Baluta win by at least 12%?,17594414743495927183797287192036138849272345841650376526996941485581491157939,10817623380918689303694881614902886271653392990178175829817102237597844118346,12,100
