condition_id,market_name,yes_token_id,no_token_id,lo,hi,name
0x08768ad828b29c1b3e5519e31802e615e6d94e17452c2c06adecbfb72ef77adc,Will Anca Alexandrescu get less than 5% of the vote in the Bucharest Mayoral election?,114207706418746732302359023459321663729216634167569124002932794115458828192941,106137312744928491639362489090225249299781444415480099820117228485397257025106,0,5,Anca Alexandrescu
0x916aa76ee6b98b6abfd7d51afc65ad51b9fedd7316c3ad8a3c16418c2f053f1f,Will Anca Alexandrescu get between 5% and 10% of the vote in the Bucharest Mayoral election?,93877793669059663232145026316249326265601543136190006258184864534305804015599,69544202039032450063634459792117866004434538271675639238602472771090851596015,5,10,Anca Alexandrescu
0x47672338fe5d422644182c0b257c97b578908480e9132d5cd181e7fba24f3fe8,Will Anca Alexandrescu get between 10% and 15% of the vote in the Bucharest Mayoral election?,83120351373183866639941602393135563142236915093866642320547407766511694225229,3377877784647051781408698134717334914217974095358488439205436175496445411619,10,15,Anca Alexandrescu
0x7a8eedca0f52773fc411211b8036e4ec454dd64ed21e74982330271cbc6dde81,Will Anca Alexandrescu get between 15% and 20% of the vote in the Bucharest Mayoral election?,102468937060596127924934476350834998229497201650617552086748775400646727682092,41535368391056278194192726417933380813897178027687862942398277568484647370640,15,20,Anca Alexandrescu
0xda3d32e8ed48bbff9f1fff6b458b5caee9ddb2171de4fbb1a85377047c76c338,Will Anca Alexandrescu get between 20% and 25% of the vote in the Bucharest Mayoral election?,16835539072604155681833495602315735929689081724144436115911798672827216534362,88889812678319153098537515999967592838206354268270924318343185130739881200988,20,25,Anca Alexandrescu
0x6fedc7b0f2bbfcce040e62f127a8173254216cb24b4bfc1dc06b7e4f385ae611,Will Anca Alexandrescu get at least 25% of the vote in the Bucharest Mayoral election?,25983693801493930295570912152946522980131271948801110078550777936476991125771,59420273303614814171255087357287125704166613387103797229047624114911625998485,25,60,Anca Alexandrescu
0x4c0f92cce387850e09c6bf0aa312fb268b778e8c8e09d6cbb1dc9a4b308d0e90,Will Daniel Băluță get less than 15% of the vote in the Bucharest Mayoral election?,39365758868012425650406254638014345558513648290603118669702203431867934671700,14974829302598397959814556823188043861018589656044938671705249307174230188599,0,15,Daniel Băluță
0xfe771bdda5dcae83ad4337b9cc5b2298436500e5be79addd6bed952488ffe845,Will Daniel Băluță get between 15% and 20% of the vote in the Bucharest Mayoral election?,67373843507364501998189036178051010708869944134528666335262467324211946508629,51006169294426110019841429393933735908339593049506556465423551494073112625315,15,20,Daniel Băluță
0x7167786115b03e392b009949f123e37afaaf52eb15a69ddad389205ca3d19b40,Will Daniel Băluță get between 20% and 25% of the vote in the Bucharest Mayoral election?,78091412301749577372529526864487496375879618093170385994007125099164015450167,69831909896157489706394212812705424275055196871067583871509672846280008221962,20,25,Daniel Băluță
0xd7f71c4b6c3cc713b5a0881677b2520949522aa839597d041511fa57fb12081a,Will Daniel Băluță get between 25% and 30% of the vote in the Bucharest Mayoral election?,24614042652750941621124762590115311381812994492008610520374035701141794025443,24655025728489182213385574887397029574989069827895233280333531856659155884401,25,30,Daniel Băluță
0x4a0e35261d3fab0a407a8b06e41e891ca9412791051ad0e9f8fa9736c92d7cf5,Will Daniel Băluță get between 30% and 35% of the vote in the Bucharest Mayoral election?,89234665797444525896998954527782735894815016253033470883184667028919849916619,81667891578404037310364473480622184924155725096728601603633054409405090731035,30,35,Daniel Băluță
0x3bce3b6b2b795eb22a584326c7ed063a4d9e5917e3c862666802a72e3c27800b,Will Daniel Băluță get between 35% and 40% of the vote in the Bucharest Mayoral election?,98419089051682747840011512539859779318539390073835606901747390352558842301022,16787968654079014411574151413024708457875437711655892491763039277423861295841,35,40,Daniel Băluță
0x661114c00ceaccf0dfa1a81e0f29a5be913416fb23951ab0be1b1c2ac73c85e0,Will Daniel Băluță get at least 40% of the vote in the Bucharest Mayoral election?,19161569646686902398611354267926011140586320523700756802962372132604868615452,87302510450880417489729114059280700772995329196785795129648349711096254326671,40,60,Daniel Băluță
0xa91eb1188f680ddbb5b3b7aec83c72ec9ddb765fb1893de5cf1ec0d73ba24ab9,Will Ciprian Ciucu get less than 15% of the vote in the Bucharest Mayoral election?,29294639313615842579493955916196810639762850614863126048211679063371021047921,63479728536617412062529808870831756993617638745525344938637176859078928717460,0,15,Ciprian Ciucu
0xe2a2e7a25d9a5ad5159adb47efd484bb4eb48a18044f151672e39810709a74fc,Will Ciprian Ciucu get between 15% and 20% of the vote in the Bucharest Mayoral election?,81184306499106161676128316835580381564353747706102021527042640382101343827279,41934304448971354988022348316412221957686664662879996930133591461935873849402,15,20,Ciprian Ciucu
0x602da294fb0728e2225f67e0bf960224ba8913a016d96074d23786c96d6a2d93,Will Ciprian Ciucu get between 20% and 25% of the vote in the Bucharest Mayoral election?,40861779265750151523702464463193991427203835319727324432945801114481748498403,79718874771460396048046937689117454472940323002102345926401158294611676200352,20,25,Ciprian Ciucu
0x57cb75e61d901fcbf810652ed1edde7d0c9dde42260a55b28dc2a0e6cf9209cd,Will Ciprian Ciucu get between 25% and 30% of the vote in the Bucharest Mayoral election?,107978534839512103811976301787374149826800450645392576200591040411784471599726,60654870668484519081736939928799503332827924808476611219553838095692114245390,25,30,Ciprian Ciucu
0xe1e4426517b4df339286246e94f3255eba8e72c79547a35af1f722b126a02284,Will Ciprian Ciucu get between 30% and 35% of the vote in the Bucharest Mayoral election?,65022368323986097559492028923732132754053690395653142248751527462916866007435,93386340575168410110900061619937398971615465692877907757742001321809930077577,30,35,Ciprian Ciucu
0xa70119627beaac34f1413d8f09d2f931366d31abb9c23a3bee6fb72197e71090,Will Ciprian Ciucu get between 35% and 40% of the vote in the Bucharest Mayoral election?,38886218774769617600195761484650374315268859122662296185254973533251059382518,60411349858131350431445186977130495463210198970739255302442676562762722284046,35,40,Ciprian Ciucu
0xcb6e452ecebf54d84b274a41b166357416cc714c68b770d7526f1f670cf2dce7,Will Ciprian Ciucu get at least 40% of the vote in the Bucharest Mayoral election?,63752701902782159005100131897331255081981791800159982493882047200282915027300,36830240452632162755496284993353038129318788300688886689996155774827630270366,40,60,Ciprian Ciucu
