condition_id,name,market_name,yes_token_id,no_token_id,lo,hi
0xf75b5134f373b65a3df32bc71bed4a88621a7c700c1cec2a71f5dbe41d267ddc,Marques Mendes,Will Luís Marques Mendes win the first round by less than 2%?,48312489128415084214175836001785828849359888581292842182930850149368093766410,89842131856081796105475670865272599603914695617240499759922267891803224936233,0,2
0xeb3d848051dfd49ddb3d36c611c345d3e5d9d9d910ba2bc01ea1ac830391786a,Marques Mendes,Will Luís Marques Mendes win the first round by 2–4%?,81895741397781709974483514196548083376725900337994392102137942885390108452612,28576145530953403150417103206607501097227306300097776402007422444202016649731,2,4
0x9eb3c324f494f500a8919db07f990bfaf2075424cc52719008bfbd594b05e9d6,Marques Mendes,Will Luís Marques Mendes win the first round by 4–6%?,8631894934902505988524482556645169450454720347963701866817012968329418221010,55023356062538070307635649800508589730336181401918368260836722364407746716452,4,6
0xc57723055c31467b1988f9fe1d62ed4d3c9f8b760ade4cf6a8adf4ac25471bf2,Marques Mendes,Will Luís Marques Mendes win the first round by at least 6%?,23964488168186581984977275005840504172983161340074726213163945527748370285386,4295266559484366958755160445229849134746938027268707680672203814309213316448,6,100
0xab14808ce912a1141356af8e163e58cd5a9ce050453975f29136f466f0a911e7,André Ventura,Will André Ventura win the first round by less than 2%?,14362358334191103796622805735002244797625273827261117651546946067327080026480,55787067014672058971568281467300648602439529875882466921261794673060365455260,0,2
0x0572476fc3f6ae27eed72710f01cd70e0ffceac29b6604f9d4dc9b19e22b9d75,André Ventura,Will André Ventura win the first round by 2–4%?,29179641073621239571495052315252913965575821065901402716587133169586750344778,51193151798986066286104206451314643385705613889156957501247253228802723461156,2,4
0xa4df38d907a09748a471ed12efc10fae15fbd3bbde800be4c5783cfb855a1a1d,André Ventura,Will André Ventura win the first round by at least 4%?,10513099979618361551324118288452439688533689983126650895356509544881650190750,10402503948174926373591221436770447937519921659070969847738856244632588418205,4,100
0x0b8eab47b1b1a6043ff2f8041d94f24deb5f653bfa47511577d74ce34e73491b,António José Seguro,Will António José Seguro win the first round?,11605242410407292782774815604352413642548789512908271227884573835559540701860,69251706700942141551916664613440229011452437191153731450509992163697866000535,0,100
0xdf1d6b4c3e8670e8c47d6688f8ae5ab7a71e2293c04591456673f804f1f705e1,Gouveia e Melo,Will Henrique Gouveia e Melo win the first round?,32707219960551397881853483536841017475231240340974191972064335164237534323736,1901796116671303959263443963918148545098092199703171649228417219182836687320,0,100
0xda710abfabaca05707a941b6809fac6fcec5888440935aaaecaf6b0461ab0447,Cotrim Figueiredo,Will João Cotrim de Figueiredo win the first round?,88049347948253185261036326918859929078024824790489972618243512207372913938577,58887838216363418671232252092151281478850247304777267840864460339787284852298,0,100
