condition_id,name,market_name,yes_token_id,no_token_id
0x92f925b3c8c2c17f2b250e5fc2bd2efc4ed73450ca4f503c658286627c63ce07,Fujimori 1,Will Keiko Fujimori finish in first place in the first round of the 2026 Peruvian presidential election?,103918207436665029639828041290061263988171837996219233187467653519681594764146,6052034010456160681877572047311139631588712438727540789175406731197647033553
0x4bb97d5995fd6e774deb800f347f07d5b448a09a49998917a62c1d1295581b24,Aliaga 1,Will Rafael López Aliaga finish in first place in the first round of the 2026 Peruvian presidential election?,51526760676688407938881361599919783120573714033353480058779290043441275105116,24314576075263227381369016930019455052510097753027179439380326835963202154680
0x48e9ded29eafc04dc92a76ca21a7af0991c7937a654de70ce29b7f79dca9f55d,Chau 1,Will Alfonso López Chau finish in first place in the first round of the 2026 Peruvian presidential election?,23372257061026697787000258809898604337402323665127992994044470665872956161452,51679123559852796773360199551102900221817429320826983452951572960491406680571
0xe0cd1311e134e6efc4cfa1d4ae29129f2e24e5f2471c3f4dbeb3c57cccfb9d59,Sánchez 1,Will Roberto Sánchez Palomino finish in first place in the first round of the 2026 Peruvian presidential election?,24382858618770683581953140426169486676247229658237605682964351068440863558936,53932490308278070297403582749733042634609609876119855875211071300786699802037
0x9c5cc21a1553f5a750d607063c963851d684205d020a44a498b401582dd4430d,Álvarez 1,Will Carlos Álvarez finish in first place in the first round of the 2026 Peruvian presidential election?,103999159301680039906446069571846387207780055578205767519431146672749000897271,20791799237447660076487909304890552961452027394265360103915636271876750157772
0xaac611149128256883650fb703c24dcee3a2c3006d14b5f5f9e74acb46d5af36,Nieto 1,Will Jorge Nieto finish in first place in the first round of the 2026 Peruvian presidential election?,15538885939273101088219845483763949035816295406078351786451603255915083166705,17411284561196948581739667225696574665054724919651988025417012532845170682735
0xdb9a31a15731bb3eaba3279db6d9d5f9ced4ca843397fca33e3586a93b671719,Acuña 1,Will César Acuña finish in first place in the first round of the 2026 Peruvian presidential election?,13041338583297471956109455548021156613329967039176259556479047451026454738195,93208928217229852113180125719261724027047108389266147494426056098339456334687
0xbaca6ec0fd213cd34c664e85e8142cf8b3944dc9a83ec7e1fdfc8dddca0bcc0b,Belmont 1,Will Ricardo Belmont finish in first place in the first round of the 2026 Peruvian presidential election?,112641039176789137137910166760880168883108281711640622679360549516033282602539,43187610880916152434386341539717308136812548024990763248464523308814230778674
0xccfae422e415525c804b9aaea27353aaf3c9717ca09edc28ac84c922d7d6fb39,Forsyth 1,Will George Forsyth finish in first place in the first round of the 2026 Peruvian presidential election?,20631186390690053953207826909465618259468951775548171834293784363765172169369,30100497697926599373424876725362653930817090281120235777888202518500898535042
0x29e6732af6e27705419434514e56b24105c0b59c75a392d1b34d11e86a267a33,Lescano 1,Will Yonhy Lescano finish in first place in the first round of the 2026 Peruvian presidential election?,107679593055521061608345201397433604380043908125229590659648088341257563312115,45551748874674503655546867263957525114231969998656026642330249320027815596338
0x376c0c0a9da2c81cc1faa8c48aa4815b12c6b9bba54ef9fe4bd2663159ba3b9e,Luna 1,Will José Luna finish in first place in the first round of the 2026 Peruvian presidential election?,28770257381209525364735053341087553571804797769836417671010607065265038107541,13925779649113810391354205739196364780496594808125299839580474699763817316424
