condition_id,name,market_name,yes_token_id,no_token_id
0xdf5b111e3fd6f17e03691be1bfe1db3e8324d12a3405f5eb28d5a192c54af239,López Aliaga & López Chau,Will Rafael López Aliaga and Alfonso López Chau advance to the runoff?,68903620582256332126323698065582436208284757670019308353225104361761207714528,64762771254369917903187503085809313717958528450595953096753209109860955909913
0x22986d85b69745b33364bd435ea7ba866244eab715371436e7e37f11f9582be5,López Aliaga & Nieto,Will Rafael López Aliaga and Jorge Nieto advance to the runoff?,35496251642402430718338587589322977544256912394588160765208842278668529509845,73805229363433495258786486158876837158517085935115147059952944307953727412505
0xfd88ddcecbd1d87714bcafa3425d9f6a55d4ceabc0b1b40f147332d108783f20,López Chau & Fujimori,Will Alfonso López Chau and Keiko Fujimori advance to the runoff?,111839802314445509862200067208569272410210155628494410158435433732457481409514,92548700459179661462624501395246101295135670389435610680234428000900131141863
0x0e8c7044b438ec6f527cc7c9354f5238dd5d16eb0cefed200f9ef94766ea9839,López Chau & Nieto,Will Alfonso López Chau and Jorge Nieto advance to the runoff?,23333408447544099415825646901218120987148093392138478243504128729115328407900,13373127235436310496786356241100922435751544813678825916595198428187248684045
0x8d4ecede43894f38f161fdb4b4a819d913444bac5f6046bad8a89262713ce8c7,López Chau & Sánchez Palomino,Will Alfonso López Chau and Roberto Sánchez Palomino advance to the runoff?,29167008969766107352210537422219763495665990263944428326054658819828032734147,111165913138196389951797564589148312424619102049484916094473658513786079174783
0x7f1813724d4e7a7e0fcf83187fc23a1f68887f317d2d0cc6eeb1566d5ef658d9,López Aliaga & Fujimori,Will Rafael López Aliaga and Keiko Fujimori advance to the runoff?,1589464936413673033399229569095230643415545615650083019639574196537463430152,47225023667800043560086786706964414513363957739628627630127052942090660872508
0x543c4e5b2ee9121a614b1c5fdfd1d5ba990c84a7c86fe7576ae69d964a55a943,López Aliaga & Sánchez Palomino,Will Rafael López Aliaga and Roberto Sánchez Palomino advance to the runoff?,69128835040173186720323341475157269173023025084369934611740043757811165931492,23727950811357868940460750913896001558137564530080772104282916677330055273968
0x59e8bd636284fa56a9f9fa66968221c09629d6c5aa0dcd0bd90999463e43c66c,López Aliaga & Grozo,Will Rafael López Aliaga and Wolfgang Grozo advance to the runoff?,78842076722535207234780407699818761065008256752896477119954661913414287756036,32782340105739868661715218559838986545514753867537713985660974022764995616289
0xc44c9edbe90c66b4fa4e2151bbbf9bd044e3953aa08d231899da7877b81e98d3,Fujimori & Nieto,Will Keiko Fujimori and Jorge Nieto advance to the runoff?,23937469308898494983356075878558279642517247552495856659435547619527308505674,6459007821525647548162628412652070188171016103859578751051414271876190794136
0x756a30c26d295fadcdcbd8914f439dc03ac45dda20d39921277b712fc73f35d7,Other,Will a different combination of candidates advance to the runoff?,4999738999570882868980590148352846205066876905755920761575786200158980011107,63052701979421569803151354706154251582140798666132657759690999324195625129137
